City or Town,2000,2010,percent Change,Source
Barnstable,47821,45193,-5.48,http://www.sec.state.ma.us/census/
Bourne,18721,19754,5.52,
Brewster,10094,9820,-2.71,
Chatham,6625,6125,-7.55,
Dennis,15973,14207,-11.06,
Eastham,5453,4956,-9.11,
Falmouth,32660,31531,-3.46,
Harwich,12386,12243,-1.15,
Mashpee,12946,14006,8.19,
Orleans,6341,5890,-7.11,
Provincetown,3431,2942,-14.25,
Sandwich,20136,20675,2.68,
Truro,2087,2003,-4.02,
Wellfleet,2749,2750,0.04,
Yarmouth,24807,23793,-4.09,
Adams,8809,8485,-3.68
Alford,399,494,23.81
Becket,1755,1779,1.37
Cheshire,3401,3235,-4.88
Clarksburg,1686,1702,0.95
Dalton,6892,6756,-1.97
Egremont,1345,1225,-8.92
Florida,676,752,11.24
Great Barrington,7527,7104,-5.62
Hancock,721,717,-0.55
Hinsdale,1872,2032,8.55
Lanesborough,2990,3091,3.38
Lee,5985,5943,-0.7
Lenox,5077,5025,-1.02
Monterey,934,961,2.89
Mount Washington,130,167,28.46
New Ashford,247,228,-7.69
New Marlborough,1494,1509,1
North Adams,14681,13708,-6.63
Otis,1365,1612,18.1
Peru,821,847,3.17
Pittsfield,45793,44737,-2.31
Richmond,1604,1475,-8.04
Sandisfield,824,915,11.04
Savoy,705,692,-1.84
Sheffield,3335,3257,-2.34
Stockbridge,2276,1947,-14.46
Tyringham,350,327,-6.57
Washington,544,538,-1.1
West Stockbridge,1416,1306,-7.77
Williamstown,8424,7754,-7.95
Windsor,875,899,2.74
Acushnet,10161,10303,1.4
Attleboro,42068,43593,3.63
Berkley,5749,6411,11.52
Dartmouth,30666,34032,10.98
Dighton,6175,7086,14.75
Easton,22299,23112,3.65
Fairhaven,16159,15873,-1.77
Fall Rivier,91938,88857,-3.35
Freetown,8472,8870,4.7
Mansfield,22414,23184,3.44
New Bedford,93768,95072,1.39
North Attleborough,27143,28712,5.78
Norton,18036,19031,5.52
Raynham,11739,13383,14
Rehoboth,10172,11608,14.12
Seekonk,13425,13722,2.21
Somerset,18234,18165,-0.38
Swansea,15901,15865,-0.23
Taunton,55976,55874,-0.18
Westport,14183,15532,9.51
Aquinnah,344,311,-9.59
Chilmark,843,866,2.73
Edgartown,3779,4067,7.62
Gosnold,86,75,-12.79
Oak Bluffs,3713,4527,21.92
Tisbury,3755,3949,5.17
West Tisbury,2467,2740,11.07
Amesbury,16450,16283,-1.02
Andover,31247,33201,6.25
Beverly,39862,39502,-0.9
Boxford,7921,7965,0.56
Danvers,25212,26493,5.08
Essex,3267,3504,7.25
Georgetown,7377,8183,10.93
Gloucester,30273,28789,-4.9
Groveland,6038,6459,6.97
Hamilton,8315,7764,-6.63
Haverhill,58969,60879,3.24
Ipswich,12987,13175,1.45
Lawrence,72043,76377,6.02
Lynn,89050,90329,1.44
Lynnfield,11542,11596,0.47
Manchester-by-the-Sea,5228,5136,-1.76
Marblehead,20377,19808,-2.79
Merrimac,6138,6338,3.26
Methuen,43789,47255,7.92
Middleton,7744,8987,16.05
Nahant,3632,3410,-6.11
Newbury,6717,6666,-0.76
Newburyport,17189,17416,1.32
North Andover,27202,28352,4.23
Peabody,48129,51251,6.49
Rockport,7767,6952,-10.49
Rowley,5500,5856,6.47
Salem,40407,41340,2.31
Salisbury,7827,8283,5.83
Saugus,26078,26628,2.11
Swampscott,14412,13787,-4.34
Topsfield,6141,6085,-0.91
Wenham,4440,4875,9.8
West Newbury,4149,4235,2.07
